author,precision,recall,falsePositiveRate,truePositiveRate,numberOfPosts,areaUnderROC,threshold
Dzik,0.9314512492107874,0.9314512492107874,0.1682285789275464,0.9314512492107874,5238,0.8816113351416206,0.5
dr know,0.9990078470280509,0.9990078470280509,3.894094495530055E-4,0.9990078470280508,7781,0.9993092187892489,0.5
Szalony,0.8530711644268062,0.8530711644268062,0.3508503606614141,0.8530711644268062,6468,0.751110401882696,0.5
Starosta,0.82493009831334,0.82493009831334,0.6353427528020764,0.82493009831334,5305,0.5947936727556318,0.5
jusza,0.8867141697483539,0.8867141697483539,0.7658729345105862,0.8867141697483539,3142,0.5604206176188838,0.5
