author,precision,recall,falsePositiveRate,truePositiveRate,numberOfPosts,areaUnderROC,threshold
Dzik,0.9215297194912961,0.9215297194912961,0.19517518003728881,0.9215297194912961,5238,0.8631772697270036,0.5
dr know,0.9389374943627672,0.9389374943627672,0.07315044588248587,0.9389374943627671,7781,0.9328935242401407,0.5
Szalony,0.8284477315775233,0.8284477315775233,0.44537134488123004,0.8284477315775232,6468,0.6915381933481466,0.5
Starosta,0.9939568864435826,0.9939568864435826,0.025303530073373468,0.9939568864435826,5305,0.9843266781851046,0.5
jusza,0.8822043835122215,0.8822043835122215,0.87105331317706,0.8822043835122215,3142,0.5055755351675807,0.5
